sub;run;type;z;roi
1;IP;within_pair-across_pair;-1,56476353097783e-02;ca23dg_body_thre_0.5
1;pre-IP;within_pair-across_pair;-1,92094846571024e-02;ca23dg_body_thre_0.5
2;IP;within_pair-across_pair;-2,08588644889278e-02;ca23dg_body_thre_0.5
2;pre-IP;within_pair-across_pair;3,67067661552334e-03;ca23dg_body_thre_0.5
3;IP;within_pair-across_pair;2,17782825245210e-02;ca23dg_body_thre_0.5
3;pre-IP;within_pair-across_pair;1,11767119930558e-02;ca23dg_body_thre_0.5
4;IP;within_pair-across_pair;2,18250327753940e-02;ca23dg_body_thre_0.5
4;pre-IP;within_pair-across_pair;-2,20516884829415e-02;ca23dg_body_thre_0.5
5;IP;within_pair-across_pair;2,38832570313231e-03;ca23dg_body_thre_0.5
5;pre-IP;within_pair-across_pair;4,11809246738818e-03;ca23dg_body_thre_0.5
6;IP;within_pair-across_pair;1,94988812968190e-02;ca23dg_body_thre_0.5
6;pre-IP;within_pair-across_pair;1,44134837855473e-02;ca23dg_body_thre_0.5
7;IP;within_pair-across_pair;-2,77928109875831e-02;ca23dg_body_thre_0.5
7;pre-IP;within_pair-across_pair;1,82407515491510e-02;ca23dg_body_thre_0.5
9;IP;within_pair-across_pair;-3,98851949179203e-02;ca23dg_body_thre_0.5
9;pre-IP;within_pair-across_pair;2,03814093207894e-02;ca23dg_body_thre_0.5
10;IP;within_pair-across_pair;-2,27737557828926e-02;ca23dg_body_thre_0.5
10;pre-IP;within_pair-across_pair;5,59439067907395e-03;ca23dg_body_thre_0.5
11;IP;within_pair-across_pair;-2,69286423787151e-02;ca23dg_body_thre_0.5
11;pre-IP;within_pair-across_pair;3,51108211301971e-02;ca23dg_body_thre_0.5
12;IP;within_pair-across_pair;-1,59956396447395e-02;ca23dg_body_thre_0.5
12;pre-IP;within_pair-across_pair;1,05436146262585e-02;ca23dg_body_thre_0.5
13;IP;within_pair-across_pair;-2,57603626203432e-02;ca23dg_body_thre_0.5
13;pre-IP;within_pair-across_pair;1,84621270999300e-02;ca23dg_body_thre_0.5
14;IP;within_pair-across_pair;-1,43446826479831e-03;ca23dg_body_thre_0.5
14;pre-IP;within_pair-across_pair;-1,52289723616907e-03;ca23dg_body_thre_0.5
17;IP;within_pair-across_pair;3,05810350393715e-02;ca23dg_body_thre_0.5
17;pre-IP;within_pair-across_pair;2,17227736807277e-02;ca23dg_body_thre_0.5
18;IP;within_pair-across_pair;2,76304436989984e-02;ca23dg_body_thre_0.5
18;pre-IP;within_pair-across_pair;1,85932932356512e-02;ca23dg_body_thre_0.5
19;IP;within_pair-across_pair;-3,45465781068000e-02;ca23dg_body_thre_0.5
19;pre-IP;within_pair-across_pair;-1,15218869047028e-02;ca23dg_body_thre_0.5
20;IP;within_pair-across_pair;1,55851452638289e-02;ca23dg_body_thre_0.5
20;pre-IP;within_pair-across_pair;-3,74953587671031e-02;ca23dg_body_thre_0.5
21;IP;within_pair-across_pair;-4,12651004517590e-04;ca23dg_body_thre_0.5
21;pre-IP;within_pair-across_pair;-1,52184553319293e-02;ca23dg_body_thre_0.5
22;IP;within_pair-across_pair;-1,34034771560874e-02;ca23dg_body_thre_0.5
22;pre-IP;within_pair-across_pair;7,37208321825471e-03;ca23dg_body_thre_0.5
23;IP;within_pair-across_pair;-1,75851949788458e-02;ca23dg_body_thre_0.5
23;pre-IP;within_pair-across_pair;-1,44970395100155e-02;ca23dg_body_thre_0.5
24;IP;within_pair-across_pair;-8,91731237263416e-03;ca23dg_body_thre_0.5
24;pre-IP;within_pair-across_pair;1,20389862626133e-02;ca23dg_body_thre_0.5
25;IP;within_pair-across_pair;-4,94326518762877e-03;ca23dg_body_thre_0.5
25;pre-IP;within_pair-across_pair;2,76916987956379e-02;ca23dg_body_thre_0.5
26;IP;within_pair-across_pair;3,80620926868203e-03;ca23dg_body_thre_0.5
26;pre-IP;within_pair-across_pair;-3,40548412905276e-03;ca23dg_body_thre_0.5
27;IP;within_pair-across_pair;-9,23234198660784e-03;ca23dg_body_thre_0.5
27;pre-IP;within_pair-across_pair;1,67242811168728e-02;ca23dg_body_thre_0.5
28;IP;within_pair-across_pair;-1,12570453043166e-02;ca23dg_body_thre_0.5
28;pre-IP;within_pair-across_pair;1,05288485164562e-02;ca23dg_body_thre_0.5
29;IP;within_pair-across_pair;-2,61949152602542e-02;ca23dg_body_thre_0.5
29;pre-IP;within_pair-across_pair;-1,83025674807903e-02;ca23dg_body_thre_0.5
31;IP;within_pair-across_pair;1,35720031878313e-02;ca23dg_body_thre_0.5
31;pre-IP;within_pair-across_pair;-1,59703901788312e-02;ca23dg_body_thre_0.5
32;IP;within_pair-across_pair;-1,24319304265640e-02;ca23dg_body_thre_0.5
32;pre-IP;within_pair-across_pair;-3,01121773587760e-03;ca23dg_body_thre_0.5
33;IP;within_pair-across_pair;4,41751843688146e-03;ca23dg_body_thre_0.5
33;pre-IP;within_pair-across_pair;2,72300684893425e-02;ca23dg_body_thre_0.5
35;IP;within_pair-across_pair;-6,34175468050975e-03;ca23dg_body_thre_0.5
35;pre-IP;within_pair-across_pair;6,16327537404159e-03;ca23dg_body_thre_0.5
36;IP;within_pair-across_pair;-1,01561743951792e-02;ca23dg_body_thre_0.5
36;pre-IP;within_pair-across_pair;7,12968631824534e-03;ca23dg_body_thre_0.5
1;IP;within_item-across_pair;-7,83913793550474e-03;ca23dg_body_thre_0.5
1;pre-IP;within_item-across_pair;-9,92629997465572e-03;ca23dg_body_thre_0.5
2;IP;within_item-across_pair;5,08255527680847e-03;ca23dg_body_thre_0.5
2;pre-IP;within_item-across_pair;-4,19508381975049e-02;ca23dg_body_thre_0.5
3;IP;within_item-across_pair;1,77285950913191e-02;ca23dg_body_thre_0.5
3;pre-IP;within_item-across_pair;-1,32649047897172e-02;ca23dg_body_thre_0.5
4;IP;within_item-across_pair;-1,46656776160689e-03;ca23dg_body_thre_0.5
4;pre-IP;within_item-across_pair;-3,39000834374173e-02;ca23dg_body_thre_0.5
5;IP;within_item-across_pair;4,43444464750041e-03;ca23dg_body_thre_0.5
5;pre-IP;within_item-across_pair;-5,15753656797549e-02;ca23dg_body_thre_0.5
6;IP;within_item-across_pair;2,73943278275308e-02;ca23dg_body_thre_0.5
6;pre-IP;within_item-across_pair;-7,87480479043651e-03;ca23dg_body_thre_0.5
7;IP;within_item-across_pair;-6,67692573273263e-03;ca23dg_body_thre_0.5
7;pre-IP;within_item-across_pair;1,85101271904597e-02;ca23dg_body_thre_0.5
9;IP;within_item-across_pair;-2,72113491042532e-02;ca23dg_body_thre_0.5
9;pre-IP;within_item-across_pair;-9,42500745988060e-03;ca23dg_body_thre_0.5
10;IP;within_item-across_pair;-5,91831467049466e-03;ca23dg_body_thre_0.5
10;pre-IP;within_item-across_pair;-5,51521789790535e-02;ca23dg_body_thre_0.5
11;IP;within_item-across_pair;-1,14027844184351e-02;ca23dg_body_thre_0.5
11;pre-IP;within_item-across_pair;3,12356824844771e-04;ca23dg_body_thre_0.5
12;IP;within_item-across_pair;-6,30562425037077e-03;ca23dg_body_thre_0.5
12;pre-IP;within_item-across_pair;7,02589424899710e-03;ca23dg_body_thre_0.5
13;IP;within_item-across_pair;2,80370380477269e-02;ca23dg_body_thre_0.5
13;pre-IP;within_item-across_pair;2,70819407041489e-02;ca23dg_body_thre_0.5
14;IP;within_item-across_pair;3,33435483930295e-04;ca23dg_body_thre_0.5
14;pre-IP;within_item-across_pair;-5,32423029926184e-03;ca23dg_body_thre_0.5
17;IP;within_item-across_pair;-2,31364776225438e-03;ca23dg_body_thre_0.5
17;pre-IP;within_item-across_pair;-1,09678038281791e-02;ca23dg_body_thre_0.5
18;IP;within_item-across_pair;1,52862776137551e-02;ca23dg_body_thre_0.5
18;pre-IP;within_item-across_pair;-2,87236534346506e-02;ca23dg_body_thre_0.5
19;IP;within_item-across_pair;-1,52599680723908e-02;ca23dg_body_thre_0.5
19;pre-IP;within_item-across_pair;-2,28122922980564e-02;ca23dg_body_thre_0.5
20;IP;within_item-across_pair;-4,60594799558153e-03;ca23dg_body_thre_0.5
20;pre-IP;within_item-across_pair;-3,37738144153978e-02;ca23dg_body_thre_0.5
21;IP;within_item-across_pair;-2,14979165261347e-03;ca23dg_body_thre_0.5
21;pre-IP;within_item-across_pair;-2,58467183707666e-02;ca23dg_body_thre_0.5
22;IP;within_item-across_pair;-4,30781342500724e-03;ca23dg_body_thre_0.5
22;pre-IP;within_item-across_pair;1,14504632123006e-02;ca23dg_body_thre_0.5
23;IP;within_item-across_pair;1,49999124288013e-02;ca23dg_body_thre_0.5
23;pre-IP;within_item-across_pair;-3,91962924783213e-03;ca23dg_body_thre_0.5
24;IP;within_item-across_pair;1,26344620583591e-02;ca23dg_body_thre_0.5
24;pre-IP;within_item-across_pair;-3,42036128797327e-03;ca23dg_body_thre_0.5
25;IP;within_item-across_pair;-2,00966395890710e-02;ca23dg_body_thre_0.5
25;pre-IP;within_item-across_pair;4,77810235737974e-02;ca23dg_body_thre_0.5
26;IP;within_item-across_pair;2,49235795497835e-02;ca23dg_body_thre_0.5
26;pre-IP;within_item-across_pair;-1,12940452650107e-02;ca23dg_body_thre_0.5
27;IP;within_item-across_pair;-2,00905561195212e-02;ca23dg_body_thre_0.5
27;pre-IP;within_item-across_pair;1,28971073955795e-02;ca23dg_body_thre_0.5
28;IP;within_item-across_pair;2,71375505497829e-02;ca23dg_body_thre_0.5
28;pre-IP;within_item-across_pair;6,46976133277195e-03;ca23dg_body_thre_0.5
29;IP;within_item-across_pair;-7,29473582288428e-03;ca23dg_body_thre_0.5
29;pre-IP;within_item-across_pair;9,95689836411416e-03;ca23dg_body_thre_0.5
31;IP;within_item-across_pair;-1,70296185390176e-02;ca23dg_body_thre_0.5
31;pre-IP;within_item-across_pair;1,20079629900930e-02;ca23dg_body_thre_0.5
32;IP;within_item-across_pair;7,34497617267608e-03;ca23dg_body_thre_0.5
32;pre-IP;within_item-across_pair;-8,07290643362361e-03;ca23dg_body_thre_0.5
33;IP;within_item-across_pair;-2,51501589141818e-03;ca23dg_body_thre_0.5
33;pre-IP;within_item-across_pair;-2,53724058409932e-02;ca23dg_body_thre_0.5
35;IP;within_item-across_pair;1,52786179623916e-02;ca23dg_body_thre_0.5
35;pre-IP;within_item-across_pair;2,39370783285424e-02;ca23dg_body_thre_0.5
36;IP;within_item-across_pair;-1,21334313675154e-02;ca23dg_body_thre_0.5
36;pre-IP;within_item-across_pair;-1,47637382149451e-03;ca23dg_body_thre_0.5
1;IP;within_pair-across_pair;-2,14317027933927e-02;ca1_body_thre_0.5
1;pre-IP;within_pair-across_pair;2,79400931086192e-03;ca1_body_thre_0.5
2;IP;within_pair-across_pair;-9,29638704175249e-04;ca1_body_thre_0.5
2;pre-IP;within_pair-across_pair;7,20694181263125e-03;ca1_body_thre_0.5
3;IP;within_pair-across_pair;-1,99629226693979e-02;ca1_body_thre_0.5
3;pre-IP;within_pair-across_pair;-8,75570681033081e-03;ca1_body_thre_0.5
4;IP;within_pair-across_pair;3,23317812557838e-02;ca1_body_thre_0.5
4;pre-IP;within_pair-across_pair;1,35315010763845e-02;ca1_body_thre_0.5
5;IP;within_pair-across_pair;1,28050444503434e-02;ca1_body_thre_0.5
5;pre-IP;within_pair-across_pair;4,10954025995662e-05;ca1_body_thre_0.5
6;IP;within_pair-across_pair;-1,53852476309152e-02;ca1_body_thre_0.5
6;pre-IP;within_pair-across_pair;-3,03267282211818e-02;ca1_body_thre_0.5
7;IP;within_pair-across_pair;-1,88211244535994e-02;ca1_body_thre_0.5
7;pre-IP;within_pair-across_pair;-5,80125072339556e-02;ca1_body_thre_0.5
9;IP;within_pair-across_pair;-5,94659901548264e-03;ca1_body_thre_0.5
9;pre-IP;within_pair-across_pair;2,57680881610753e-02;ca1_body_thre_0.5
10;IP;within_pair-across_pair;-1,02539505998159e-02;ca1_body_thre_0.5
10;pre-IP;within_pair-across_pair;-2,40612443083788e-03;ca1_body_thre_0.5
11;IP;within_pair-across_pair;1,44834257776301e-02;ca1_body_thre_0.5
11;pre-IP;within_pair-across_pair;8,75976728373756e-03;ca1_body_thre_0.5
12;IP;within_pair-across_pair;-1,74226681547245e-02;ca1_body_thre_0.5
12;pre-IP;within_pair-across_pair;1,57578516731395e-02;ca1_body_thre_0.5
13;IP;within_pair-across_pair;9,27188801854943e-03;ca1_body_thre_0.5
13;pre-IP;within_pair-across_pair;1,19737993308893e-02;ca1_body_thre_0.5
14;IP;within_pair-across_pair;7,57685577176740e-03;ca1_body_thre_0.5
14;pre-IP;within_pair-across_pair;3,89723441404328e-03;ca1_body_thre_0.5
17;IP;within_pair-across_pair;5,39205889426175e-03;ca1_body_thre_0.5
17;pre-IP;within_pair-across_pair;1,05743465265742e-02;ca1_body_thre_0.5
18;IP;within_pair-across_pair;1,59679582122217e-02;ca1_body_thre_0.5
18;pre-IP;within_pair-across_pair;2,80980769241287e-02;ca1_body_thre_0.5
19;IP;within_pair-across_pair;7,98306877648856e-03;ca1_body_thre_0.5
19;pre-IP;within_pair-across_pair;3,82528844092433e-03;ca1_body_thre_0.5
20;IP;within_pair-across_pair;3,65688035685491e-03;ca1_body_thre_0.5
20;pre-IP;within_pair-across_pair;2,17061943218934e-02;ca1_body_thre_0.5
21;IP;within_pair-across_pair;-1,52307461797737e-02;ca1_body_thre_0.5
21;pre-IP;within_pair-across_pair;-4,66322466908874e-03;ca1_body_thre_0.5
22;IP;within_pair-across_pair;9,98576863150538e-03;ca1_body_thre_0.5
22;pre-IP;within_pair-across_pair;-9,59796982543914e-03;ca1_body_thre_0.5
23;IP;within_pair-across_pair;2,49388781526918e-02;ca1_body_thre_0.5
23;pre-IP;within_pair-across_pair;7,08417744281259e-03;ca1_body_thre_0.5
24;IP;within_pair-across_pair;2,32738696434633e-02;ca1_body_thre_0.5
24;pre-IP;within_pair-across_pair;1,04479071300586e-02;ca1_body_thre_0.5
25;IP;within_pair-across_pair;5,55065435196953e-03;ca1_body_thre_0.5
25;pre-IP;within_pair-across_pair;-1,33114027100290e-02;ca1_body_thre_0.5
26;IP;within_pair-across_pair;1,79806747312958e-02;ca1_body_thre_0.5
26;pre-IP;within_pair-across_pair;1,92709896697117e-03;ca1_body_thre_0.5
27;IP;within_pair-across_pair;-9,32038138306410e-03;ca1_body_thre_0.5
27;pre-IP;within_pair-across_pair;2,63939320554066e-03;ca1_body_thre_0.5
28;IP;within_pair-across_pair;6,82317886185976e-03;ca1_body_thre_0.5
28;pre-IP;within_pair-across_pair;-6,30721673773393e-03;ca1_body_thre_0.5
29;IP;within_pair-across_pair;-1,97494359282542e-02;ca1_body_thre_0.5
29;pre-IP;within_pair-across_pair;4,27184244722930e-02;ca1_body_thre_0.5
31;IP;within_pair-across_pair;-2,17426018230577e-02;ca1_body_thre_0.5
31;pre-IP;within_pair-across_pair;-2,89051477646347e-02;ca1_body_thre_0.5
32;IP;within_pair-across_pair;3,84947619537212e-02;ca1_body_thre_0.5
32;pre-IP;within_pair-across_pair;1,53399640467598e-02;ca1_body_thre_0.5
33;IP;within_pair-across_pair;-5,51223089266925e-03;ca1_body_thre_0.5
33;pre-IP;within_pair-across_pair;-3,41192465776169e-02;ca1_body_thre_0.5
35;IP;within_pair-across_pair;3,03228244584982e-02;ca1_body_thre_0.5
35;pre-IP;within_pair-across_pair;2,74271505080405e-02;ca1_body_thre_0.5
36;IP;within_pair-across_pair;1,65970508255898e-02;ca1_body_thre_0.5
36;pre-IP;within_pair-across_pair;-1,22596367828879e-02;ca1_body_thre_0.5
1;IP;within_item-across_pair;-1,99462831840966e-02;ca1_body_thre_0.5
1;pre-IP;within_item-across_pair;-1,13777097962106e-02;ca1_body_thre_0.5
2;IP;within_item-across_pair;-6,35678824250362e-03;ca1_body_thre_0.5
2;pre-IP;within_item-across_pair;6,20085579022495e-03;ca1_body_thre_0.5
3;IP;within_item-across_pair;-6,42352000487106e-04;ca1_body_thre_0.5
3;pre-IP;within_item-across_pair;1,48377471694425e-02;ca1_body_thre_0.5
4;IP;within_item-across_pair;1,69977203130066e-02;ca1_body_thre_0.5
4;pre-IP;within_item-across_pair;4,58958806093652e-03;ca1_body_thre_0.5
5;IP;within_item-across_pair;7,60478748843273e-03;ca1_body_thre_0.5
5;pre-IP;within_item-across_pair;-1,56892561565463e-02;ca1_body_thre_0.5
6;IP;within_item-across_pair;7,08887976714035e-03;ca1_body_thre_0.5
6;pre-IP;within_item-across_pair;7,37939722818270e-03;ca1_body_thre_0.5
7;IP;within_item-across_pair;5,06600888025578e-03;ca1_body_thre_0.5
7;pre-IP;within_item-across_pair;-8,04972526313284e-03;ca1_body_thre_0.5
9;IP;within_item-across_pair;-9,31763449754186e-03;ca1_body_thre_0.5
9;pre-IP;within_item-across_pair;2,30937396129335e-03;ca1_body_thre_0.5
10;IP;within_item-across_pair;-3,72381988208689e-02;ca1_body_thre_0.5
10;pre-IP;within_item-across_pair;-1,57613732364798e-02;ca1_body_thre_0.5
11;IP;within_item-across_pair;1,01794994088367e-02;ca1_body_thre_0.5
11;pre-IP;within_item-across_pair;-3,30353587929567e-02;ca1_body_thre_0.5
12;IP;within_item-across_pair;6,02169276416590e-03;ca1_body_thre_0.5
12;pre-IP;within_item-across_pair;-7,08819251600159e-03;ca1_body_thre_0.5
13;IP;within_item-across_pair;-9,01039703332637e-03;ca1_body_thre_0.5
13;pre-IP;within_item-across_pair;-3,10973825924232e-03;ca1_body_thre_0.5
14;IP;within_item-across_pair;-8,04147971743641e-03;ca1_body_thre_0.5
14;pre-IP;within_item-across_pair;-1,43765133829348e-02;ca1_body_thre_0.5
17;IP;within_item-across_pair;-7,30162172768277e-03;ca1_body_thre_0.5
17;pre-IP;within_item-across_pair;8,43393137778110e-03;ca1_body_thre_0.5
18;IP;within_item-across_pair;-1,26676190425102e-03;ca1_body_thre_0.5
18;pre-IP;within_item-across_pair;4,18778741312801e-02;ca1_body_thre_0.5
19;IP;within_item-across_pair;5,46550045807124e-04;ca1_body_thre_0.5
19;pre-IP;within_item-across_pair;-2,00415806132320e-02;ca1_body_thre_0.5
20;IP;within_item-across_pair;9,13195366849278e-03;ca1_body_thre_0.5
20;pre-IP;within_item-across_pair;3,34564438325749e-03;ca1_body_thre_0.5
21;IP;within_item-across_pair;7,96180367154604e-03;ca1_body_thre_0.5
21;pre-IP;within_item-across_pair;-1,70091720883413e-02;ca1_body_thre_0.5
22;IP;within_item-across_pair;2,27481433483726e-02;ca1_body_thre_0.5
22;pre-IP;within_item-across_pair;2,87414414989058e-02;ca1_body_thre_0.5
23;IP;within_item-across_pair;2,10663957998972e-02;ca1_body_thre_0.5
23;pre-IP;within_item-across_pair;4,75420505823362e-03;ca1_body_thre_0.5
24;IP;within_item-across_pair;2,44930073725420e-02;ca1_body_thre_0.5
24;pre-IP;within_item-across_pair;-9,56613713077950e-03;ca1_body_thre_0.5
25;IP;within_item-across_pair;2,65893884712043e-02;ca1_body_thre_0.5
25;pre-IP;within_item-across_pair;1,52443389294548e-02;ca1_body_thre_0.5
26;IP;within_item-across_pair;1,86117610203577e-02;ca1_body_thre_0.5
26;pre-IP;within_item-across_pair;2,29220742177577e-03;ca1_body_thre_0.5
27;IP;within_item-across_pair;-1,93513995679340e-02;ca1_body_thre_0.5
27;pre-IP;within_item-across_pair;5,12814670220424e-04;ca1_body_thre_0.5
28;IP;within_item-across_pair;6,78813572870328e-03;ca1_body_thre_0.5
28;pre-IP;within_item-across_pair;-7,30153001043699e-03;ca1_body_thre_0.5
29;IP;within_item-across_pair;-1,03068383421382e-02;ca1_body_thre_0.5
29;pre-IP;within_item-across_pair;2,45117071659071e-02;ca1_body_thre_0.5
31;IP;within_item-across_pair;2,04830220453980e-02;ca1_body_thre_0.5
31;pre-IP;within_item-across_pair;-4,08575756899828e-02;ca1_body_thre_0.5
32;IP;within_item-across_pair;1,79115669757127e-02;ca1_body_thre_0.5
32;pre-IP;within_item-across_pair;-2,64388799777328e-02;ca1_body_thre_0.5
33;IP;within_item-across_pair;-2,65987715626746e-02;ca1_body_thre_0.5
33;pre-IP;within_item-across_pair;-1,36363521327228e-02;ca1_body_thre_0.5
35;IP;within_item-across_pair;-6,34828210861768e-04;ca1_body_thre_0.5
35;pre-IP;within_item-across_pair;-1,50740837160057e-02;ca1_body_thre_0.5
36;IP;within_item-across_pair;-1,61943871448457e-02;ca1_body_thre_0.5
36;pre-IP;within_item-across_pair;9,17886879836694e-03;ca1_body_thre_0.5
1;IP;within_pair-across_pair;-1,00347387114840e-02;ppa_avg_scene_top_300
1;pre-IP;within_pair-across_pair;-2,29174524693721e-02;ppa_avg_scene_top_300
