sub;run;type;z;roi
2;IP;within_pair-across_pair;1,96812016163799e-02;ppa_avg_scene_top_300
2;pre-IP;within_pair-across_pair;-5,06519295781523e-03;ppa_avg_scene_top_300
3;IP;within_pair-across_pair;2,44759718275774e-02;ppa_avg_scene_top_300
3;pre-IP;within_pair-across_pair;2,09936207748737e-03;ppa_avg_scene_top_300
4;IP;within_pair-across_pair;2,10141535217370e-02;ppa_avg_scene_top_300
4;pre-IP;within_pair-across_pair;1,53171183549049e-02;ppa_avg_scene_top_300
5;IP;within_pair-across_pair;-1,60989772386710e-02;ppa_avg_scene_top_300
5;pre-IP;within_pair-across_pair;1,22062181125825e-02;ppa_avg_scene_top_300
6;IP;within_pair-across_pair;-5,88967650772469e-03;ppa_avg_scene_top_300
6;pre-IP;within_pair-across_pair;1,56121715005473e-02;ppa_avg_scene_top_300
7;IP;within_pair-across_pair;2,73593791267556e-02;ppa_avg_scene_top_300
7;pre-IP;within_pair-across_pair;-1,28243985577850e-03;ppa_avg_scene_top_300
9;IP;within_pair-across_pair;-5,38825919220136e-03;ppa_avg_scene_top_300
9;pre-IP;within_pair-across_pair;-8,22676615349504e-04;ppa_avg_scene_top_300
10;IP;within_pair-across_pair;1,49011918283881e-02;ppa_avg_scene_top_300
10;pre-IP;within_pair-across_pair;3,57243175070770e-02;ppa_avg_scene_top_300
11;IP;within_pair-across_pair;5,29653109079682e-03;ppa_avg_scene_top_300
11;pre-IP;within_pair-across_pair;2,53982452080674e-03;ppa_avg_scene_top_300
12;IP;within_pair-across_pair;-4,05656962809544e-03;ppa_avg_scene_top_300
12;pre-IP;within_pair-across_pair;9,12060500753196e-03;ppa_avg_scene_top_300
13;IP;within_pair-across_pair;-1,00647753340819e-02;ppa_avg_scene_top_300
13;pre-IP;within_pair-across_pair;1,18126501850173e-03;ppa_avg_scene_top_300
14;IP;within_pair-across_pair;-2,10667900820667e-02;ppa_avg_scene_top_300
14;pre-IP;within_pair-across_pair;5,23588645710924e-05;ppa_avg_scene_top_300
17;IP;within_pair-across_pair;7,70112118068802e-03;ppa_avg_scene_top_300
17;pre-IP;within_pair-across_pair;-1,65771084842818e-03;ppa_avg_scene_top_300
18;IP;within_pair-across_pair;-4,18679953654449e-03;ppa_avg_scene_top_300
18;pre-IP;within_pair-across_pair;-9,65432953482590e-05;ppa_avg_scene_top_300
19;IP;within_pair-across_pair;-8,26143544426127e-03;ppa_avg_scene_top_300
19;pre-IP;within_pair-across_pair;-8,14503477899633e-03;ppa_avg_scene_top_300
20;IP;within_pair-across_pair;-4,22336933452408e-04;ppa_avg_scene_top_300
20;pre-IP;within_pair-across_pair;1,58369393323672e-04;ppa_avg_scene_top_300
21;IP;within_pair-across_pair;8,56046975166038e-03;ppa_avg_scene_top_300
21;pre-IP;within_pair-across_pair;-8,31311719358501e-03;ppa_avg_scene_top_300
22;IP;within_pair-across_pair;2,45094263230103e-03;ppa_avg_scene_top_300
22;pre-IP;within_pair-across_pair;1,08579723639017e-02;ppa_avg_scene_top_300
23;IP;within_pair-across_pair;2,46058765559598e-02;ppa_avg_scene_top_300
23;pre-IP;within_pair-across_pair;7,85614276233432e-03;ppa_avg_scene_top_300
24;IP;within_pair-across_pair;6,04241679360441e-04;ppa_avg_scene_top_300
24;pre-IP;within_pair-across_pair;-1,48897136682703e-02;ppa_avg_scene_top_300
25;IP;within_pair-across_pair;1,89611732518559e-02;ppa_avg_scene_top_300
25;pre-IP;within_pair-across_pair;7,81645883513374e-03;ppa_avg_scene_top_300
26;IP;within_pair-across_pair;7,90445938731720e-03;ppa_avg_scene_top_300
26;pre-IP;within_pair-across_pair;-1,81600807924662e-02;ppa_avg_scene_top_300
27;IP;within_pair-across_pair;1,98021075050888e-03;ppa_avg_scene_top_300
27;pre-IP;within_pair-across_pair;-7,59246158945827e-04;ppa_avg_scene_top_300
28;IP;within_pair-across_pair;9,66816624738612e-03;ppa_avg_scene_top_300
28;pre-IP;within_pair-across_pair;3,82186682034647e-03;ppa_avg_scene_top_300
29;IP;within_pair-across_pair;1,13907573274111e-02;ppa_avg_scene_top_300
29;pre-IP;within_pair-across_pair;3,26818871129494e-02;ppa_avg_scene_top_300
31;IP;within_pair-across_pair;5,69700977403876e-03;ppa_avg_scene_top_300
31;pre-IP;within_pair-across_pair;4,26660865796991e-03;ppa_avg_scene_top_300
32;IP;within_pair-across_pair;2,99090288618910e-03;ppa_avg_scene_top_300
32;pre-IP;within_pair-across_pair;2,03090050473755e-02;ppa_avg_scene_top_300
33;IP;within_pair-across_pair;2,67125411933144e-03;ppa_avg_scene_top_300
33;pre-IP;within_pair-across_pair;-6,04111061534852e-03;ppa_avg_scene_top_300
35;IP;within_pair-across_pair;7,00293525356757e-04;ppa_avg_scene_top_300
35;pre-IP;within_pair-across_pair;7,41304389352157e-03;ppa_avg_scene_top_300
36;IP;within_pair-across_pair;-7,26871749085914e-04;ppa_avg_scene_top_300
36;pre-IP;within_pair-across_pair;-5,63709512989506e-03;ppa_avg_scene_top_300
1;IP;within_item-across_pair;2,72141470954518e-02;ppa_avg_scene_top_300
1;pre-IP;within_item-across_pair;-8,66774209152230e-03;ppa_avg_scene_top_300
2;IP;within_item-across_pair;3,67116001848175e-04;ppa_avg_scene_top_300
2;pre-IP;within_item-across_pair;-2,81758333910017e-02;ppa_avg_scene_top_300
3;IP;within_item-across_pair;4,36546457220167e-03;ppa_avg_scene_top_300
3;pre-IP;within_item-across_pair;6,87532842622932e-03;ppa_avg_scene_top_300
4;IP;within_item-across_pair;6,09119415806063e-03;ppa_avg_scene_top_300
4;pre-IP;within_item-across_pair;-3,75254327016103e-03;ppa_avg_scene_top_300
5;IP;within_item-across_pair;2,32792973662329e-02;ppa_avg_scene_top_300
5;pre-IP;within_item-across_pair;-2,83667317337250e-03;ppa_avg_scene_top_300
6;IP;within_item-across_pair;2,99772852051744e-02;ppa_avg_scene_top_300
6;pre-IP;within_item-across_pair;1,25555031426692e-02;ppa_avg_scene_top_300
7;IP;within_item-across_pair;-1,52096247865265e-02;ppa_avg_scene_top_300
7;pre-IP;within_item-across_pair;-7,27670375625850e-03;ppa_avg_scene_top_300
9;IP;within_item-across_pair;1,18357383386335e-02;ppa_avg_scene_top_300
9;pre-IP;within_item-across_pair;-1,65556834675586e-02;ppa_avg_scene_top_300
10;IP;within_item-across_pair;-5,33999012546671e-03;ppa_avg_scene_top_300
10;pre-IP;within_item-across_pair;-3,09787610935122e-03;ppa_avg_scene_top_300
11;IP;within_item-across_pair;4,39550926507290e-03;ppa_avg_scene_top_300
11;pre-IP;within_item-across_pair;1,64636167432442e-02;ppa_avg_scene_top_300
12;IP;within_item-across_pair;-2,02263735259759e-02;ppa_avg_scene_top_300
12;pre-IP;within_item-across_pair;-7,79007233349639e-03;ppa_avg_scene_top_300
13;IP;within_item-across_pair;-6,18533193133542e-03;ppa_avg_scene_top_300
13;pre-IP;within_item-across_pair;2,28649067866772e-02;ppa_avg_scene_top_300
14;IP;within_item-across_pair;-1,36502381568176e-02;ppa_avg_scene_top_300
14;pre-IP;within_item-across_pair;2,09175182143086e-02;ppa_avg_scene_top_300
17;IP;within_item-across_pair;1,11236650104431e-02;ppa_avg_scene_top_300
17;pre-IP;within_item-across_pair;-2,18085059213448e-02;ppa_avg_scene_top_300
18;IP;within_item-across_pair;3,60424133648004e-03;ppa_avg_scene_top_300
18;pre-IP;within_item-across_pair;-1,36899476876997e-02;ppa_avg_scene_top_300
19;IP;within_item-across_pair;-2,64084197475224e-03;ppa_avg_scene_top_300
19;pre-IP;within_item-across_pair;-1,16384989047702e-02;ppa_avg_scene_top_300
20;IP;within_item-across_pair;-9,49233836921964e-03;ppa_avg_scene_top_300
20;pre-IP;within_item-across_pair;-1,94070300763450e-02;ppa_avg_scene_top_300
21;IP;within_item-across_pair;-1,84344216455541e-03;ppa_avg_scene_top_300
21;pre-IP;within_item-across_pair;-2,35815846515946e-02;ppa_avg_scene_top_300
22;IP;within_item-across_pair;-3,01298809213577e-03;ppa_avg_scene_top_300
22;pre-IP;within_item-across_pair;1,16750928133796e-02;ppa_avg_scene_top_300
23;IP;within_item-across_pair;1,57222188989043e-02;ppa_avg_scene_top_300
23;pre-IP;within_item-across_pair;1,60861568612645e-02;ppa_avg_scene_top_300
24;IP;within_item-across_pair;-7,05751064133174e-03;ppa_avg_scene_top_300
24;pre-IP;within_item-across_pair;-1,69051462565924e-02;ppa_avg_scene_top_300
25;IP;within_item-across_pair;5,41107389895481e-03;ppa_avg_scene_top_300
25;pre-IP;within_item-across_pair;8,34400959825458e-03;ppa_avg_scene_top_300
26;IP;within_item-across_pair;3,05119044675988e-03;ppa_avg_scene_top_300
26;pre-IP;within_item-across_pair;-2,35520761206238e-02;ppa_avg_scene_top_300
27;IP;within_item-across_pair;-7,02979232522141e-03;ppa_avg_scene_top_300
27;pre-IP;within_item-across_pair;-2,70657706499627e-02;ppa_avg_scene_top_300
28;IP;within_item-across_pair;2,10797079638121e-03;ppa_avg_scene_top_300
28;pre-IP;within_item-across_pair;9,30062894570309e-03;ppa_avg_scene_top_300
29;IP;within_item-across_pair;-5,65044212989268e-03;ppa_avg_scene_top_300
29;pre-IP;within_item-across_pair;-1,97550791759722e-02;ppa_avg_scene_top_300
31;IP;within_item-across_pair;-2,99271365906731e-04;ppa_avg_scene_top_300
31;pre-IP;within_item-across_pair;5,08530522523241e-03;ppa_avg_scene_top_300
32;IP;within_item-across_pair;-6,45632682935258e-03;ppa_avg_scene_top_300
32;pre-IP;within_item-across_pair;1,51340478008660e-03;ppa_avg_scene_top_300
33;IP;within_item-across_pair;6,65211364225675e-03;ppa_avg_scene_top_300
33;pre-IP;within_item-across_pair;-8,01811613956191e-03;ppa_avg_scene_top_300
35;IP;within_item-across_pair;1,95763597285728e-02;ppa_avg_scene_top_300
35;pre-IP;within_item-across_pair;1,72761322372214e-02;ppa_avg_scene_top_300
36;IP;within_item-across_pair;3,15786305396877e-03;ppa_avg_scene_top_300
36;pre-IP;within_item-across_pair;-6,01138526776386e-03;ppa_avg_scene_top_300
1;IP;within_pair-across_pair;-1,41721746927756e-02;evc_avg_all_top_300
1;pre-IP;within_pair-across_pair;1,92174230727710e-02;evc_avg_all_top_300
2;IP;within_pair-across_pair;2,91918369003848e-02;evc_avg_all_top_300
2;pre-IP;within_pair-across_pair;-9,47251299482310e-03;evc_avg_all_top_300
3;IP;within_pair-across_pair;-7,56881442814700e-03;evc_avg_all_top_300
3;pre-IP;within_pair-across_pair;-2,19998129392849e-03;evc_avg_all_top_300
4;IP;within_pair-across_pair;2,06180412530838e-03;evc_avg_all_top_300
4;pre-IP;within_pair-across_pair;2,53873123710676e-02;evc_avg_all_top_300
5;IP;within_pair-across_pair;-1,89927239108132e-02;evc_avg_all_top_300
5;pre-IP;within_pair-across_pair;9,76386885752395e-03;evc_avg_all_top_300
6;IP;within_pair-across_pair;3,21100692157974e-02;evc_avg_all_top_300
6;pre-IP;within_pair-across_pair;1,24776825756482e-02;evc_avg_all_top_300
7;IP;within_pair-across_pair;4,10914768844615e-03;evc_avg_all_top_300
7;pre-IP;within_pair-across_pair;8,43257266306089e-03;evc_avg_all_top_300
9;IP;within_pair-across_pair;-1,73430761280676e-02;evc_avg_all_top_300
9;pre-IP;within_pair-across_pair;-3,44736482735410e-03;evc_avg_all_top_300
10;IP;within_pair-across_pair;4,32611120040866e-02;evc_avg_all_top_300
10;pre-IP;within_pair-across_pair;2,96824028587976e-02;evc_avg_all_top_300
11;IP;within_pair-across_pair;5,16156305907866e-04;evc_avg_all_top_300
11;pre-IP;within_pair-across_pair;-1,57829747688256e-02;evc_avg_all_top_300
12;IP;within_pair-across_pair;-7,81538362504543e-03;evc_avg_all_top_300
12;pre-IP;within_pair-across_pair;1,61536706843290e-02;evc_avg_all_top_300
13;IP;within_pair-across_pair;-5,94665947550258e-03;evc_avg_all_top_300
13;pre-IP;within_pair-across_pair;-6,34854514386329e-03;evc_avg_all_top_300
14;IP;within_pair-across_pair;-1,53654406487504e-02;evc_avg_all_top_300
14;pre-IP;within_pair-across_pair;-4,86679452561461e-03;evc_avg_all_top_300
17;IP;within_pair-across_pair;-7,82780110825292e-03;evc_avg_all_top_300
17;pre-IP;within_pair-across_pair;-5,32352964266693e-03;evc_avg_all_top_300
18;IP;within_pair-across_pair;-1,32526967547532e-02;evc_avg_all_top_300
18;pre-IP;within_pair-across_pair;1,26190673501499e-03;evc_avg_all_top_300
19;IP;within_pair-across_pair;1,53023584141468e-03;evc_avg_all_top_300
19;pre-IP;within_pair-across_pair;-3,23877736616522e-03;evc_avg_all_top_300
20;IP;within_pair-across_pair;-6,22130561692609e-03;evc_avg_all_top_300
20;pre-IP;within_pair-across_pair;-1,21014067575425e-02;evc_avg_all_top_300
21;IP;within_pair-across_pair;-2,03641727761020e-02;evc_avg_all_top_300
21;pre-IP;within_pair-across_pair;7,74305846528574e-02;evc_avg_all_top_300
22;IP;within_pair-across_pair;-6,97372506028686e-03;evc_avg_all_top_300
22;pre-IP;within_pair-across_pair;1,75366053398809e-02;evc_avg_all_top_300
23;IP;within_pair-across_pair;1,13461402028507e-02;evc_avg_all_top_300
23;pre-IP;within_pair-across_pair;1,11986098817401e-02;evc_avg_all_top_300
24;IP;within_pair-across_pair;1,18220882706419e-02;evc_avg_all_top_300
24;pre-IP;within_pair-across_pair;-1,10685318592426e-02;evc_avg_all_top_300
25;IP;within_pair-across_pair;-1,08528061661904e-02;evc_avg_all_top_300
25;pre-IP;within_pair-across_pair;-1,19578609412215e-02;evc_avg_all_top_300
26;IP;within_pair-across_pair;1,45881863782332e-02;evc_avg_all_top_300
26;pre-IP;within_pair-across_pair;-2,34112691772825e-02;evc_avg_all_top_300
27;IP;within_pair-across_pair;3,59074955492262e-03;evc_avg_all_top_300
27;pre-IP;within_pair-across_pair;1,25073285177070e-02;evc_avg_all_top_300
28;IP;within_pair-across_pair;1,96984348981603e-02;evc_avg_all_top_300
28;pre-IP;within_pair-across_pair;-2,15755177538886e-03;evc_avg_all_top_300
29;IP;within_pair-across_pair;-9,92464420619056e-03;evc_avg_all_top_300
29;pre-IP;within_pair-across_pair;2,81006366228779e-02;evc_avg_all_top_300
31;IP;within_pair-across_pair;1,26721913092201e-02;evc_avg_all_top_300
31;pre-IP;within_pair-across_pair;-2,36993921420067e-03;evc_avg_all_top_300
32;IP;within_pair-across_pair;1,15145213468669e-02;evc_avg_all_top_300
32;pre-IP;within_pair-across_pair;-1,57146434104916e-02;evc_avg_all_top_300
33;IP;within_pair-across_pair;-1,13384834278623e-02;evc_avg_all_top_300
33;pre-IP;within_pair-across_pair;-1,90760089832128e-02;evc_avg_all_top_300
35;IP;within_pair-across_pair;4,74840136268295e-03;evc_avg_all_top_300
35;pre-IP;within_pair-across_pair;1,33807075804652e-02;evc_avg_all_top_300
36;IP;within_pair-across_pair;-6,03037882292673e-02;evc_avg_all_top_300
36;pre-IP;within_pair-across_pair;1,49428918070336e-02;evc_avg_all_top_300
1;IP;within_item-across_pair;-1,90925708637859e-02;evc_avg_all_top_300
1;pre-IP;within_item-across_pair;-9,96242711457053e-03;evc_avg_all_top_300
2;IP;within_item-across_pair;5,29751968777812e-02;evc_avg_all_top_300
2;pre-IP;within_item-across_pair;-1,90870302435726e-02;evc_avg_all_top_300
3;IP;within_item-across_pair;4,20363171682022e-03;evc_avg_all_top_300
3;pre-IP;within_item-across_pair;-5,81492282454918e-03;evc_avg_all_top_300
4;IP;within_item-across_pair;1,32945815159692e-02;evc_avg_all_top_300
4;pre-IP;within_item-across_pair;-2,25839093706478e-03;evc_avg_all_top_300
5;IP;within_item-across_pair;4,41449089266849e-03;evc_avg_all_top_300
5;pre-IP;within_item-across_pair;1,37350468808713e-02;evc_avg_all_top_300
6;IP;within_item-across_pair;4,94267604184596e-02;evc_avg_all_top_300
6;pre-IP;within_item-across_pair;3,31653671500376e-02;evc_avg_all_top_300
7;IP;within_item-across_pair;-8,50343365539112e-03;evc_avg_all_top_300
7;pre-IP;within_item-across_pair;8,67807691399682e-03;evc_avg_all_top_300
9;IP;within_item-across_pair;-3,35997121000775e-03;evc_avg_all_top_300
9;pre-IP;within_item-across_pair;-3,86946487306589e-03;evc_avg_all_top_300
10;IP;within_item-across_pair;4,42219200542641e-02;evc_avg_all_top_300
10;pre-IP;within_item-across_pair;-4,15104574351251e-03;evc_avg_all_top_300
11;IP;within_item-across_pair;5,45708639215424e-03;evc_avg_all_top_300
11;pre-IP;within_item-across_pair;-2,44131163777394e-03;evc_avg_all_top_300
12;IP;within_item-across_pair;-1,12765614522927e-02;evc_avg_all_top_300
12;pre-IP;within_item-across_pair;1,79891012056499e-02;evc_avg_all_top_300
13;IP;within_item-across_pair;1,46482880893236e-02;evc_avg_all_top_300
13;pre-IP;within_item-across_pair;-9,53297100593807e-03;evc_avg_all_top_300
14;IP;within_item-across_pair;-8,17554879388688e-04;evc_avg_all_top_300
14;pre-IP;within_item-across_pair;1,21492072169360e-02;evc_avg_all_top_300
17;IP;within_item-across_pair;1,57525184778258e-02;evc_avg_all_top_300
17;pre-IP;within_item-across_pair;-5,08111328595233e-05;evc_avg_all_top_300
18;IP;within_item-across_pair;1,59327907688031e-02;evc_avg_all_top_300
18;pre-IP;within_item-across_pair;5,59464224316912e-03;evc_avg_all_top_300
19;IP;within_item-across_pair;9,91654576801709e-04;evc_avg_all_top_300
19;pre-IP;within_item-across_pair;1,21537885390841e-02;evc_avg_all_top_300
20;IP;within_item-across_pair;-2,10601114589667e-02;evc_avg_all_top_300
20;pre-IP;within_item-across_pair;-4,08895566715972e-02;evc_avg_all_top_300
21;IP;within_item-across_pair;-5,16762730920627e-03;evc_avg_all_top_300
21;pre-IP;within_item-across_pair;-5,11264537438064e-03;evc_avg_all_top_300
22;IP;within_item-across_pair;9,79406218228264e-03;evc_avg_all_top_300
22;pre-IP;within_item-across_pair;1,52942058692548e-02;evc_avg_all_top_300
23;IP;within_item-across_pair;1,18625843296879e-02;evc_avg_all_top_300
23;pre-IP;within_item-across_pair;7,55964365645406e-03;evc_avg_all_top_300
24;IP;within_item-across_pair;-9,22886041511847e-04;evc_avg_all_top_300
24;pre-IP;within_item-across_pair;8,32398133376579e-03;evc_avg_all_top_300
25;IP;within_item-across_pair;2,39249409427315e-02;evc_avg_all_top_300
25;pre-IP;within_item-across_pair;2,27789843116560e-02;evc_avg_all_top_300
26;IP;within_item-across_pair;-1,23591710750656e-03;evc_avg_all_top_300
26;pre-IP;within_item-across_pair;-1,41720823341130e-02;evc_avg_all_top_300
27;IP;within_item-across_pair;-2,81456883708861e-03;evc_avg_all_top_300
27;pre-IP;within_item-across_pair;5,02227529713055e-03;evc_avg_all_top_300
28;IP;within_item-across_pair;2,23006180880698e-02;evc_avg_all_top_300
28;pre-IP;within_item-across_pair;8,62511697469965e-03;evc_avg_all_top_300
29;IP;within_item-across_pair;7,05046631687407e-03;evc_avg_all_top_300
29;pre-IP;within_item-across_pair;-1,70135726499584e-02;evc_avg_all_top_300
31;IP;within_item-across_pair;-3,54058962026971e-02;evc_avg_all_top_300
31;pre-IP;within_item-across_pair;-7,90282826058144e-03;evc_avg_all_top_300
32;IP;within_item-across_pair;-1,37938322204036e-02;evc_avg_all_top_300
32;pre-IP;within_item-across_pair;2,57068511558704e-03;evc_avg_all_top_300
33;IP;within_item-across_pair;1,32575338525093e-02;evc_avg_all_top_300
33;pre-IP;within_item-across_pair;1,60242370073211e-02;evc_avg_all_top_300
35;IP;within_item-across_pair;1,37791749351664e-02;evc_avg_all_top_300
35;pre-IP;within_item-across_pair;1,51136351013058e-02;evc_avg_all_top_300
36;IP;within_item-across_pair;9,24404507939133e-03;evc_avg_all_top_300
36;pre-IP;within_item-across_pair;2,28804884619219e-02;evc_avg_all_top_300
