roi,sub,1,2,3,4
CA3/DG,1,-0.062234497,-0.003747742,-0.024309092,0.010098348
CA3/DG,2,-0.018397715,-0.020337798,-0.004449355,-0.043447112
CA3/DG,3,-0.003460205,0.042374827,0.030584595,-0.08055223
CA3/DG,4,-0.008312618,0.027844982,0.054991934,0.046216574
CA3/DG,5,-0.034039929,-0.067276675,0.023127022,-0.102154663
CA3/DG,6,-0.044045648,0.042589056,-0.016409704,-0.060105691
CA3/DG,7,0.003978405,0.038460436,-0.015885874,-0.009141688
CA3/DG,9,-0.020695442,-0.005312051,-0.009485135,-0.06039624
CA3/DG,10,0.110037713,-0.043325745,0.024245287,-0.088524789
CA3/DG,11,-0.082830506,-0.049598184,-0.005685269,-0.060160483
CA3/DG,12,-0.026829652,0.03167616,-0.053557253,-0.096196763
CA3/DG,13,0.039462288,-0.068850995,0.013805504,-0.020635283
CA3/DG,14,-5.59E-04,0.051954939,-0.004958176,-0.030548468
CA3/DG,17,0.058836696,-0.08894731,0.062661992,0.025186595
CA3/DG,18,0.026367255,0.084462261,0.035429432,0.03595013
CA3/DG,19,0.042362711,-0.017005682,0.01296948,-0.072393843
CA3/DG,20,-0.038897518,0.071026967,-0.005777843,-0.05027846
CA3/DG,21,-0.069011719,0.039032975,0.061194951,0.025037727
CA3/DG,22,0.015102226,-0.01103998,-0.026735249,-0.018186777
CA3/DG,23,0.001736698,-0.044589734,-0.045413779,-0.013177992
CA3/DG,24,-0.016814367,0.035073927,-0.024753267,0.038693337
CA3/DG,25,0.029812375,0.00556054,-0.063699676,-0.086649124
CA3/DG,26,0.019982517,0.01895994,0.005385348,0.060508427
CA3/DG,27,-0.054370941,-0.067019654,-0.012470107,-0.029546995
CA3/DG,28,0.035628117,0.050438326,0.018021293,-0.115888298
CA3/DG,29,-0.012912121,0.006064532,0.037160181,0.066403013
CA3/DG,31,-0.034994774,-0.011268211,0.064404951,0.027930139
CA3/DG,32,-0.037867966,-0.059143306,-0.019973534,-0.052775703
CA3/DG,33,-0.011674437,-0.052893952,-0.03518545,0.017357098
CA3/DG,35,0.013536485,0.03741806,-0.001536874,9.15E-04
CA3/DG,36,0.026005314,-0.032719504,0.017029538,0.009323499
CA1,1,-0.017726164,0.055623212,0.028949587,0.069012937
CA1,2,-0.023311479,0.028372777,-0.029188227,0.008459125
CA1,3,-0.062175344,-0.025223278,-0.004330343,-0.035995636
CA1,4,0.035900594,-0.032479942,-0.025193327,0.039082412
CA1,5,0.019201643,-0.020953598,0.024491173,-0.056493978
CA1,6,-0.051779288,0.039926169,-0.068479628,0.053418963
CA1,7,0.008757108,0.072683201,0.032629487,0.071854287
CA1,9,-0.054196701,-9.79E-04,0.033912671,-0.066435831
CA1,10,0.01569256,-0.026076251,0.009025775,-0.056474909
CA1,11,-0.001656071,0.010776111,-0.071813974,-0.073112849
CA1,12,-0.140291223,0.025202747,0.006696125,-0.072760688
CA1,13,0.031133647,-0.006334787,-0.048336089,0.004381261
CA1,14,0.024474364,-0.047031922,-0.02926296,-0.03940693
CA1,17,-0.002185001,0.011450956,-0.04943021,0.004792009
CA1,18,0.024423735,-0.006652137,-0.011897075,-0.049643701
CA1,19,-0.095049399,0.056093869,0.030239588,0.001884754
CA1,20,-0.02209964,-0.016052382,-0.04682622,0.042015375
CA1,21,0.037140652,0.074749712,0.109529246,-0.044922095
CA1,22,-0.018156705,0.050992821,0.019212494,0.018006778
CA1,23,-0.007481433,0.008407648,-0.050020958,0.04906137
CA1,24,-4.61E-05,-0.003585454,-0.020165474,-0.011642065
CA1,25,3.26E-06,0.001500006,-0.005127297,-0.021064935
CA1,26,0.016840668,-0.002710802,0.056732754,0.022231943
CA1,27,0.033625602,0.013781083,0.042274004,0.078803171
CA1,28,-0.004925005,0.035337312,-0.024467878,0.10946929
CA1,29,0.020998262,-0.008163869,-0.026112833,0.088192113
CA1,31,-0.025980406,0.001000986,-6.03E-04,0.090672825
CA1,32,-0.030648117,-0.027750224,0.104600908,0.013726259
CA1,33,-0.041361842,-0.086794579,0.011598784,0.070227639
CA1,35,0.001892798,0.030145654,-0.055343085,-0.024043353
CA1,36,-0.014022847,0.024572331,-0.015585241,-0.01756387