scene_num,subnum,1,2,3,4,5,6
0,1,0,1,1,1,1,1
0,2,0,0,0,0,1,1
0,3,0,0,0,1,1,1
0,4,0,0,0,0,1,1
0,5,0,0,0,0,1,1
0,6,0,0,0,1,1,1
0,7,0,0,0,1,1,1
0,9,0,0,1,0,1,1
0,10,0,0,0,0,0,0
0,11,0,0,0,1,1,0
0,12,0,0,1,1,1,1
0,13,0,0,0,0,0,1
0,14,0,1,0,1,1,1
0,17,0,0,0,1,0,1
0,18,0,1,1,1,1,1
0,19,1,0,0,1,1,1
0,20,0,0,0,0,0,1
0,21,0,0,1,0,1,1
0,22,0,0,1,0,0,0
0,23,0,0,0,0,0,0
0,24,0,0,0,0,0,1
0,25,0,0,1,1,1,1
0,26,0,0,0,1,1,1
0,27,0,0,1,1,1,1
0,28,0,1,1,1,1,1
0,29,0,0,0,1,1,1
0,31,0,1,1,0,0,0
0,32,0,0,1,1,1,1
0,33,0,0,0,0,0,0
0,35,0,0,1,1,1,1
0,36,0,0,0,0,0,1
1,1,0,1,1,1,1,1
1,2,0,0,1,0,1,1
1,3,0,0,0,1,1,1
1,4,0,0,0,0,0,0
1,5,0,0,0,0,0,0
1,6,1,1,1,1,1,1
1,7,0,0,1,1,1,0
1,9,0,0,0,1,1,1
1,10,0,0,1,0,0,0
1,11,0,0,1,1,1,1
1,12,0,0,1,1,0,1
1,13,0,0,1,0,0,0
1,14,1,1,1,0,1,1
1,17,0,0,0,1,0,1
1,18,1,1,1,1,1,1
1,19,1,1,0,0,0,1
1,20,0,0,1,1,1,1
1,21,0,1,0,0,1,1
1,22,0,0,0,1,0,1
1,23,0,1,0,1,1,1
1,24,0,0,0,0,1,1
1,25,0,0,1,1,1,1
1,26,0,1,1,1,1,1
1,27,0,0,1,1,1,1
1,28,0,1,1,1,1,1
1,29,0,0,0,0,0,0
1,31,0,0,0,0,0,0
1,32,1,1,0,1,1,1
1,33,0,0,0,0,1,0
1,35,0,1,1,1,1,1
1,36,0,0,1,0,1,1
2,1,0,0,1,1,1,1
2,2,0,0,1,1,1,1
2,3,0,1,1,1,1,1
2,4,0,1,0,1,1,1
2,5,0,0,0,1,1,1
2,6,0,1,1,1,0,1
2,7,0,1,1,1,1,1
2,9,0,0,1,1,1,1
2,10,0,0,1,1,1,0
2,11,0,0,1,1,1,1
2,12,1,1,1,1,1,1
2,13,0,0,0,0,0,1
2,14,1,0,1,1,1,1
2,17,0,0,0,1,1,1
2,18,0,1,1,1,1,1
2,19,0,0,1,1,1,1
2,20,0,1,1,1,1,1
2,21,0,1,0,1,1,1
2,22,0,0,1,1,1,1
2,23,0,0,1,1,1,1
2,24,0,0,0,0,1,1
2,25,0,1,0,1,1,1
2,26,0,0,1,1,1,1
2,27,0,1,1,1,1,1
2,28,1,0,1,1,1,1
2,29,1,0,1,1,1,1
2,31,1,0,0,0,0,0
2,32,0,1,1,1,1,1
2,33,0,0,1,1,1,1
2,35,0,0,1,1,1,1
2,36,0,1,0,1,1,1
3,1,0,0,1,1,1,1
3,2,0,0,0,1,1,1
3,3,0,0,1,1,1,1
3,4,0,0,0,0,0,0
3,5,0,0,0,1,1,1
3,6,0,1,1,1,1,1
3,7,0,0,0,1,1,1
3,9,0,1,0,0,1,1
3,10,0,0,0,0,1,1
3,11,0,0,1,1,1,1
3,12,0,1,0,0,1,1
3,13,0,0,0,0,0,0
3,14,0,1,1,1,1,1
3,17,0,0,1,0,0,1
3,18,0,0,0,1,1,1
3,19,0,0,1,1,1,1
3,20,1,1,1,1,1,1
3,21,1,1,1,1,1,1
3,22,0,0,0,0,1,1
3,23,0,0,0,0,1,1
3,24,0,1,0,1,1,1
3,25,0,1,1,1,1,1
3,26,0,0,0,1,1,1
3,27,0,0,0,0,1,1
3,28,0,1,1,1,1,1
3,29,0,0,0,1,1,1
3,31,0,1,0,0,1,1
3,32,0,0,0,1,1,1
3,33,0,0,0,0,0,0
3,35,0,0,0,1,1,1
3,36,0,1,0,1,1,1
4,1,0,1,0,1,1,1
4,2,0,0,1,1,1,1
4,3,0,1,1,1,1,1
4,4,0,1,1,1,1,1
4,5,0,0,1,1,1,1
4,6,0,1,0,1,1,1
4,7,0,0,1,0,1,1
4,9,0,1,1,1,1,1
4,10,0,0,0,0,1,1
4,11,0,0,0,0,0,1
4,12,0,0,1,1,0,1
4,13,0,0,0,0,1,1
4,14,0,0,1,1,1,1
4,17,0,0,1,1,1,1
4,18,1,0,0,0,0,1
4,19,0,0,1,0,0,0
4,20,0,1,0,0,1,1
4,21,0,1,1,1,1,0
4,22,0,0,0,0,1,1
4,23,0,0,0,0,0,1
4,24,0,0,0,0,0,1
4,25,0,0,0,0,1,1
4,26,0,1,1,1,1,1
4,27,1,1,1,1,1,1
4,28,0,1,1,1,1,1
4,29,0,0,0,1,1,1
4,31,0,0,0,0,1,0
4,32,0,1,1,1,1,1
4,33,0,0,0,0,1,1
4,35,1,1,1,1,1,1
4,36,0,0,1,1,1,1
5,1,0,1,1,1,1,1
5,2,0,0,1,1,0,1
5,3,1,1,1,1,1,1
5,4,0,0,0,0,0,1
5,5,0,1,1,1,1,1
5,6,0,1,1,1,1,1
5,7,0,0,1,1,1,1
5,9,0,1,1,1,0,1
5,10,0,0,0,0,0,1
5,11,0,0,1,1,1,1
5,12,1,1,0,1,1,1
5,13,0,0,0,1,1,1
5,14,0,1,0,0,1,1
5,17,0,0,0,0,1,1
5,18,0,1,1,1,1,1
5,19,0,0,1,1,1,1
5,20,0,0,0,1,1,1
5,21,1,0,1,1,1,1
5,22,0,0,0,0,1,1
5,23,0,0,1,0,1,0
5,24,0,0,0,1,0,1
5,25,0,0,1,1,1,1
5,26,0,0,1,1,1,1
5,27,0,0,1,0,1,1
5,28,0,0,1,1,1,1
5,29,1,0,0,1,1,0
5,31,0,0,1,1,1,1
5,32,0,1,1,1,1,1
5,33,0,1,0,1,1,1
5,35,1,1,1,1,0,1
5,36,0,1,1,1,1,1
6,1,1,1,1,1,1,1
6,2,1,1,1,0,1,1
6,3,0,1,1,1,1,1
6,4,0,1,1,1,1,1
6,5,0,1,1,1,1,1
6,6,1,1,1,1,1,1
6,7,0,1,1,1,1,1
6,9,0,0,1,1,1,1
6,10,0,0,0,0,0,0
6,11,0,0,1,1,1,1
6,12,0,1,1,1,1,1
6,13,0,0,1,1,1,1
6,14,0,0,0,0,1,1
6,17,0,0,0,0,1,1
6,18,0,1,1,1,1,1
6,19,0,0,0,0,1,1
6,20,0,1,1,1,1,1
6,21,1,1,1,1,1,1
6,22,0,0,0,1,1,1
6,23,0,0,1,1,1,1
6,24,0,0,1,1,1,1
6,25,0,0,0,0,1,1
6,26,0,1,1,1,1,1
6,27,0,1,1,1,1,1
6,28,0,0,0,1,1,1
6,29,0,0,0,1,1,1
6,31,0,0,1,1,1,1
6,32,1,0,1,1,1,1
6,33,0,1,1,1,1,1
6,35,0,1,1,1,1,1
6,36,0,1,1,1,1,0
7,1,0,1,1,1,1,1
7,2,0,0,1,0,1,1
7,3,0,1,1,1,1,1
7,4,0,0,0,0,0,1
7,5,0,0,1,1,1,1
7,6,0,0,1,1,1,1
7,7,0,0,1,1,1,1
7,9,0,0,0,1,1,1
7,10,0,1,1,1,1,1
7,11,0,0,0,0,0,1
7,12,0,1,1,1,1,1
7,13,0,0,0,1,0,1
7,14,0,0,0,1,1,1
7,17,0,0,0,1,1,1
7,18,0,0,1,1,1,1
7,19,0,0,1,1,1,1
7,20,0,0,0,1,1,1
7,21,0,1,0,1,1,1
7,22,0,0,0,1,1,1
7,23,0,0,0,0,0,0
7,24,0,0,0,1,1,1
7,25,0,0,0,1,0,0
7,26,0,0,1,0,1,1
7,27,0,1,0,1,0,1
7,28,0,0,0,1,1,1
7,29,0,0,0,1,1,1
7,31,0,0,0,0,1,1
7,32,0,1,1,1,1,1
7,33,0,0,1,1,1,1
7,35,0,1,1,1,1,1
7,36,0,1,0,1,1,1
8,1,0,0,1,1,1,1
8,2,0,0,0,1,1,1
8,3,0,0,1,1,1,1
8,4,0,0,0,0,0,0
8,5,0,0,1,1,1,1
8,6,1,0,0,1,1,1
8,7,0,1,1,1,1,1
8,9,0,1,0,1,1,1
8,10,0,0,0,1,1,1
8,11,0,0,0,1,1,1
8,12,1,0,1,1,1,0
8,13,0,0,1,1,0,1
8,14,0,0,0,1,1,1
8,17,0,0,0,1,1,1
8,18,0,0,1,1,1,1
8,19,0,0,1,0,0,1
8,20,0,0,0,0,1,1
8,21,0,1,1,1,1,1
8,22,0,0,0,1,1,1
8,23,0,0,0,0,0,1
8,24,0,1,0,0,0,1
8,25,0,0,0,0,1,1
8,26,0,0,0,1,0,1
8,27,0,0,1,1,1,1
8,28,0,1,1,1,1,1
8,29,0,0,0,1,1,1
8,31,1,1,1,1,1,1
8,32,0,0,0,1,1,1
8,33,0,0,0,1,0,1
8,35,0,1,1,1,1,1
8,36,0,0,1,0,1,1
9,1,0,1,0,1,1,1
9,2,0,1,1,1,1,1
9,3,1,0,1,1,1,1
9,4,0,0,0,1,1,1
9,5,0,0,0,1,1,1
9,6,0,1,1,1,1,1
9,7,0,1,1,1,1,1
9,9,0,1,1,1,1,1
9,10,0,0,0,0,0,0
9,11,0,0,1,0,1,1
9,12,1,1,1,1,1,1
9,13,0,0,1,1,1,0
9,14,0,0,0,0,0,0
9,17,0,0,1,1,1,1
9,18,0,0,1,1,1,1
9,19,0,0,0,1,0,1
9,20,0,0,0,1,1,1
9,21,1,0,1,1,1,1
9,22,0,0,0,1,1,1
9,23,0,0,1,1,1,1
9,24,0,0,1,1,1,1
9,25,1,1,1,1,1,1
9,26,0,1,1,1,1,1
9,27,0,0,1,1,1,1
9,28,0,1,1,1,1,1
9,29,0,0,0,0,1,1
9,31,0,0,0,1,1,1
9,32,1,1,1,1,1,1
9,33,0,1,1,1,1,1
9,35,0,1,1,1,1,1
9,36,0,0,1,1,1,1
10,1,0,1,0,1,1,1
10,2,0,0,1,1,1,1
10,3,0,0,1,1,1,1
10,4,0,1,1,1,1,1
10,5,1,1,0,1,1,1
10,6,0,1,0,1,1,1
10,7,0,1,1,1,1,1
10,9,0,0,0,1,1,1
10,10,0,0,1,1,1,0
10,11,0,1,0,0,1,1
10,12,0,0,0,1,1,1
10,13,0,0,1,1,1,1
10,14,1,1,1,1,1,1
10,17,0,0,0,1,1,1
10,18,0,0,1,1,1,1
10,19,0,0,1,1,1,1
10,20,1,1,1,1,1,1
10,21,1,0,1,0,1,1
10,22,0,0,0,1,1,1
10,23,0,0,0,1,0,1
10,24,0,0,0,0,1,1
10,25,0,0,0,1,1,1
10,26,0,1,1,1,1,1
10,27,0,0,1,1,1,1
10,28,0,0,1,1,1,1
10,29,0,0,0,0,0,0
10,31,0,0,1,1,1,1
10,32,0,0,1,1,1,1
10,33,0,0,0,1,1,0
10,35,0,0,0,1,0,0
10,36,0,0,1,1,1,1
11,1,0,0,1,1,1,1
11,2,0,1,1,0,1,1
11,3,0,1,1,1,1,1
11,4,0,0,0,1,1,1
11,5,0,0,1,0,1,1
11,6,1,1,1,1,1,1
11,7,0,0,1,0,1,1
11,9,0,0,1,1,1,1
11,10,0,0,0,0,0,0
11,11,0,0,1,0,1,1
11,12,1,1,1,1,1,1
11,13,0,1,1,1,1,1
11,14,0,0,0,0,0,1
11,17,0,0,1,0,0,0
11,18,1,0,1,1,1,1
11,19,1,1,1,1,1,1
11,20,0,0,1,1,1,1
11,21,1,1,1,1,1,1
11,22,0,0,0,0,0,1
11,23,0,0,0,0,0,0
11,24,0,0,1,0,0,1
11,25,0,1,1,1,1,1
11,26,0,0,0,1,1,1
11,27,0,1,1,1,1,1
11,28,0,1,1,1,1,1
11,29,1,0,1,1,1,1
11,31,0,1,0,0,1,0
11,32,0,1,1,1,1,1
11,33,0,0,1,1,0,0
11,35,0,0,1,1,1,1
11,36,1,0,0,0,1,1
12,1,0,0,1,1,1,1
12,2,1,1,1,1,1,1
12,3,0,1,1,1,1,1
12,4,0,0,0,0,1,1
12,5,0,0,0,0,0,1
12,6,1,1,0,1,1,1
12,7,0,1,1,1,1,1
12,9,0,1,1,0,1,1
12,10,0,0,0,0,0,1
12,11,0,0,1,0,1,1
12,12,0,1,1,1,1,1
12,13,0,0,0,1,1,1
12,14,0,0,0,1,1,1
12,17,1,0,0,0,0,0
12,18,1,0,0,1,1,1
12,19,0,0,1,1,1,0
12,20,0,0,0,1,1,1
12,21,1,1,1,1,1,1
12,22,0,0,1,1,1,1
12,23,0,1,1,1,1,1
12,24,0,0,1,1,0,1
12,25,0,0,1,0,1,0
12,26,0,0,1,1,1,1
12,27,1,1,1,1,1,1
12,28,0,1,1,1,1,1
12,29,0,0,0,1,1,1
12,31,0,1,0,1,1,1
12,32,0,1,1,1,1,0
12,33,0,1,1,1,1,1
12,35,1,1,1,1,1,1
12,36,1,1,1,1,1,1
13,1,0,1,1,1,1,1
13,2,0,0,0,1,1,1
13,3,0,1,1,1,1,1
13,4,0,1,0,1,1,1
13,5,1,0,1,1,0,1
13,6,1,0,1,1,1,1
13,7,0,0,1,1,1,1
13,9,0,0,1,1,1,1
13,10,0,0,1,1,1,1
13,11,0,0,1,1,1,1
13,12,1,1,1,0,1,1
13,13,0,0,0,1,1,1
13,14,0,0,0,0,1,1
13,17,0,0,0,0,1,1
13,18,0,1,1,1,1,1
13,19,0,1,1,1,1,1
13,20,0,1,1,1,1,1
13,21,0,0,1,0,1,1
13,22,0,0,0,1,1,1
13,23,0,0,1,1,1,1
13,24,0,1,1,1,1,1
13,25,0,1,1,1,1,1
13,26,0,0,0,1,1,1
13,27,1,1,1,1,1,1
13,28,1,1,1,1,1,1
13,29,0,0,0,0,1,1
13,31,1,1,1,1,1,1
13,32,0,1,1,1,1,1
13,33,0,1,1,1,1,1
13,35,0,0,1,1,0,1
13,36,0,0,0,1,1,1
14,1,0,1,1,1,1,1
14,2,0,0,1,0,1,1
14,3,0,0,0,1,1,1
14,4,0,0,0,0,1,1
14,5,0,0,0,0,1,1
14,6,0,1,0,1,1,1
14,7,0,0,0,1,0,1
14,9,0,1,1,0,1,1
14,10,0,0,0,0,0,0
14,11,0,0,0,0,1,1
14,12,0,0,0,1,1,1
14,13,0,0,0,0,1,1
14,14,0,0,0,0,1,1
14,17,0,0,0,0,0,1
14,18,0,0,1,1,1,1
14,19,0,0,1,1,1,1
14,20,0,0,1,1,1,1
14,21,0,0,0,1,1,1
14,22,0,0,0,1,1,1
14,23,0,0,0,0,0,1
14,24,0,0,0,0,1,1
14,25,0,0,0,0,0,0
14,26,0,0,1,1,1,1
14,27,1,0,1,1,1,1
14,28,0,0,1,1,1,1
14,29,0,0,0,1,1,1
14,31,1,0,1,1,1,1
14,32,0,0,1,1,1,1
14,33,0,0,0,0,0,1
14,35,0,0,1,1,1,1
14,36,0,0,0,1,1,1
15,1,0,0,1,1,1,1
15,2,0,1,1,1,0,1
15,3,0,1,0,1,1,1
15,4,0,0,0,0,1,1
15,5,0,0,0,1,1,1
15,6,0,1,1,1,1,1
15,7,0,0,1,1,1,1
15,9,0,1,0,1,0,0
15,10,0,0,0,0,1,0
15,11,0,0,1,1,1,1
15,12,1,0,1,1,1,1
15,13,0,0,0,1,1,1
15,14,0,0,1,1,0,1
15,17,0,0,1,1,1,1
15,18,0,1,1,1,1,1
15,19,0,0,0,0,1,1
15,20,0,1,0,0,1,1
15,21,1,1,1,1,1,1
15,22,0,0,0,0,1,1
15,23,0,0,1,1,1,1
15,24,0,0,0,0,0,1
15,25,0,0,1,1,1,1
15,26,0,1,1,1,1,1
15,27,0,1,1,1,1,1
15,28,0,1,1,1,1,1
15,29,0,0,0,0,0,0
15,31,0,1,1,0,0,1
15,32,0,1,1,1,1,1
15,33,0,1,1,1,1,1
15,35,0,0,1,1,1,1
15,36,0,0,0,0,0,1
16,1,0,1,0,1,1,1
16,2,0,1,0,1,1,1
16,3,0,0,0,1,1,1
16,4,0,0,0,1,1,1
16,5,0,0,0,1,1,1
16,6,0,1,1,1,1,1
16,7,0,0,0,1,1,1
16,9,0,0,1,1,1,1
16,10,0,0,0,1,1,1
16,11,0,0,1,1,1,1
16,12,0,0,1,1,1,1
16,13,0,0,0,1,0,1
16,14,0,0,0,0,1,1
16,17,0,0,0,0,0,1
16,18,0,0,1,1,1,1
16,19,0,0,0,1,0,1
16,20,0,0,0,1,0,1
16,21,0,1,1,1,1,1
16,22,0,0,0,0,1,1
16,23,0,0,0,1,1,1
16,24,0,0,1,1,1,1
16,25,0,1,1,1,0,1
16,26,0,0,0,1,0,1
16,27,0,0,0,1,1,1
16,28,0,1,1,1,1,1
16,29,0,0,1,1,0,1
16,31,0,0,0,0,0,0
16,32,0,1,1,1,1,1
16,33,0,0,0,0,0,0
16,35,0,1,1,1,1,1
16,36,0,0,0,1,0,1
17,1,0,1,1,1,1,1
17,2,0,0,1,1,1,1
17,3,0,0,1,1,1,1
17,4,1,0,0,1,0,1
17,5,1,1,1,0,1,1
17,6,0,1,1,1,1,1
17,7,0,0,1,0,1,1
17,9,0,1,0,0,1,1
17,10,0,0,0,0,0,0
17,11,0,0,0,1,1,1
17,12,1,0,1,1,1,1
17,13,0,0,0,1,1,1
17,14,0,0,0,0,1,1
17,17,0,0,1,0,1,1
17,18,0,1,0,0,1,1
17,19,0,1,1,1,1,1
17,20,0,0,0,1,1,1
17,21,0,1,1,1,1,1
17,22,0,0,0,0,1,1
17,23,0,0,1,1,1,1
17,24,0,0,0,1,1,1
17,25,0,1,1,1,1,0
17,26,0,0,1,1,1,1
17,27,0,0,1,1,1,1
17,28,0,0,0,1,1,1
17,29,0,0,0,1,1,1
17,31,1,1,1,1,1,1
17,32,1,0,0,1,1,0
17,33,0,1,1,1,1,1
17,35,0,0,1,1,1,1
17,36,0,0,0,1,1,1
